DEPARTAMENTO;GENERACION_TOTAL_KG
AMAZONAS;631.39
ANTIOQUIA;935054.96
ARAUCA;33437.369999999995
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;923.23
ATLANTICO;481149.57999999996
BOGOTA, D.C.;6172470.4799999995
BOLIVAR;500265.25
BOYACA;113626.86
CALDAS;96623.81
CAQUETA;851.9
CASANARE;16461.3
CAUCA;36317.990000000005
CESAR;32836.58
CHOCO;2289.1
CORDOBA;29428.43
CUNDINAMARCA;692458.88
GUAINIA;699.0
GUAVIARE;36.6
HUILA;76209.85
LA GUAJIRA;153283.30000000002
MAGDALENA;20471.38
META;75415.14
NARINO;150743.12
NORTE DE SANTANDER;81801.51
PUTUMAYO;4924.25
QUINDIO;24452.050000000003
RISARALDA;411601.72
SANTANDER;194656.84
SUCRE;17057.28
TOLIMA;31370.14
VALLE DEL CAUCA;605594.43
VAUPES;106.25
VICHADA;23.0
